date;tratio;tdef;relawat
2019-01-01;1;0;0.995100720737378
2019-01-02;1;0;0.997215933396835
2019-01-03;1;0;0.999296348840069
2019-01-04;1;0;1.00092163837586
2019-01-05;1;0;1.00293912274154
2019-01-06;1;0;1.00492374463095
2019-01-07;1;0;1.00687650034083
2019-01-08;1;0;1.00879833117416
2019-01-09;1;0;1.01069010134897
2019-01-10;1;0;1.01255259303114
2019-01-11;1;0;1.01438650852323
2019-01-12;1;0;1.01619247561432
2019-01-13;1;0;1.01797105409889
2019-01-14;1;0;1.01972274250499
2019-01-15;1;0;1.02144798459351
2019-01-16;1;0;1.02314717544851
2019-01-17;1;0;1.02482066710164
2019-01-18;1;0;1.02646877369044
2019-01-19;1;0;1.02809177617387
2019-01-20;1;0;1.029689926637
2019-01-21;1;0;1.03126345221785
2019-01-22;1;0;1.03281255868795
2019-01-23;1;0;1.03433743371544
2019-01-24;1;0;1.0358382498365
2019-01-25;1;0;1.03731516715836
2019-01-26;1;0;1.03876833581446
2019-01-27;1;0;1.04019789819042
2019-01-28;1;0;1.04160399093726
2019-01-29;1;0;1.0429867467871
2019-01-30;1;0;1.04434629618487
2019-01-31;1;0;1.04568276874855
2019-02-01;1;0;1.04699629456942
2019-02-02;1;0;1.11528981893539
2019-02-03;1;0;1.11538074625223
2019-02-04;1;0;1.11542393434471
2019-02-05;1;0;1.11540332674418
2019-02-06;1;0;1.1153248255637
2019-02-07;1;0;1.11519717305183
2019-02-08;1;0;1.11502857666555
2019-02-09;1;0;1.11482631731235
2019-02-10;1;0;1.1145967739084
2019-02-11;1;0;1.11434550421867
2019-02-12;1;0;1.11407732934961
2019-02-13;1;0;1.11379641361431
2019-02-14;1;0;1.11350633832165
2019-02-15;1;0;1.11321016926453
2019-02-16;1;0;1.11291051800315
2019-02-17;1;0;1.11260959718155
2019-02-18;1;0;1.11230927019968
2019-02-19;1;0;1.11201109561401
2019-02-20;1;0;1.11171636666647
2019-02-21;1;0;1.11142614635011
2019-02-22;1;0;1.11114129841541
2019-02-23;1;0;1.11086251470742
2019-02-24;1;0;1.11059033920374
2019-02-25;1;0;1.11032518909957
2019-02-26;1;0;1.11006737325987
2019-02-27;1;0;1.16772725704399
2019-02-28;1;0;1.21319765989809
2019-03-01;1;0;1.21234981743097
2019-03-02;1;0;1.2081084916653
2019-03-03;1;0;1.20360092621884
2019-03-04;1;0;1.21405680478008
2019-03-05;1;0;1.20882914706998
2019-03-06;1;0;1.20366856280017
2019-03-07;1;0;1.30312975799584
2019-03-08;1;0;1.33223464867951
2019-03-09;1;0;1.30071502422906
2019-03-10;1;0;1.27639960340356
2019-03-11;1;0;1.25813419577109
2019-03-12;1;0;1.24388806830263
2019-03-13;1;0;1.23240389074386
2019-03-14;1;0;1.22268653901459
2019-03-15;1;0;1.21441836336351
2019-03-16;1;0;1.22062849971088
2019-03-17;1;0;1.22730706237626
2019-03-18;1;0;1.21984298914389
2019-03-19;1;0;1.21294135926442
2019-03-20;1;0;1.20663151183408
2019-03-21;1;0;1.20083022504233
2019-03-22;1;0;1.1955310307133
2019-03-23;1;0;1.27182715689648
2019-03-24;1;0;1.34758073809393
2019-03-25;1;0;1.33459618167719
2019-03-26;1;0;1.29433926370355
2019-03-27;1;0;1.26926029096511
2019-03-28;1;0;1.25186951226197
2019-03-29;1;0;1.23869118264829
2019-03-30;1;0;1.26048272503698
2019-03-31;1;0;1.32296370872419
2019-04-01;1;0;1.35241205864988
2019-04-02;1;0;1.35248900236131
2019-04-03;1;0;1.36200725636488
2019-04-04;1;0;1.37827604800208
2019-04-05;1;0;1.37827604800208
2019-04-06;1;0;1.33961295806016
2019-04-07;1;0;1.32325608087161
2019-04-08;1;0;1.32684631605658
2019-04-09;1;0;1.35512170400869
2019-04-10;1;0;1.35782829552945
2019-04-11;1;0;1.35467629743783
2019-04-12;1;0;1.3305099436476
2019-04-13;1;0;1.34116615094757
2019-04-14;1;0;1.3113778257768
2019-04-15;1;0;1.29038774961901
2019-04-16;1;0;1.33045847147653
2019-04-17;1;0;1.2982476102728
2019-04-18;1;0;1.28802097264749
2019-04-19;1;0;1.26707800565476
2019-04-20;1;0;1.23847181019749
2019-04-21;1;0;1.22330105853787
2019-04-22;1;0;1.2130103920381
2019-04-23;1;0;1.36307123085792
2019-04-24;1;0;1.34672422590137
2019-04-25;1;0;1.32564695376834
