dates;tmean;tmin;tmax;prec;globrad;vappres;windspeed
2019-01-01;-1.43407986111111;-4.631;3.362;0;7.6085244;0.381646412672428;0.0503958333333333
2019-01-02;-0.124243055555556;-4.544;6.903;0;4.2872745;0.202336371720048;4.70565972222222
2019-01-03;-4.01197222222222;-4.929;-1.978;0;7.9725159;0.123135884887545;3.55336111111111
2019-01-04;-3.55505555555556;-6.856;0.528;0;4.19532;0.177252716384344;2.28452430555556
2019-01-05;-0.527770833333333;-7.44;6.457;0;7.3060938;0.285006262121051;2.10582291666667
2019-01-06;4.22879513888889;3.183;6.389;0;8.3086599;0.270414739439596;3.88196875
2019-01-07;1.18585763888889;-3.628;5.874;0;8.5135851;0.331447577093481;1.69839583333333
2019-01-08;-2.11974652777778;-5.4;1.93;0;6.0565557;0.362469332720837;0.506416666666667
2019-01-09;-0.734197916666667;-2.392;1.748;0;5.300517;0.205796978948214;2.43523958333333
2019-01-10;-1.41078125;-2.547;1.521;0;5.3813922;0.165177662542935;3.91476388888889
2019-01-11;-2.85997569444444;-5.106;0.384;0;8.7652215;0.118365779207335;2.6896875
2019-01-12;-1.66778472222222;-6.281;4.994;0;4.4411901;0.204187727359009;0.295628472222222
2019-01-13;1.90158333333333;-2.081;7.28;0;7.3476456;0.353594808402478;1.20394791666667
2019-01-14;0.874350694444444;-2;5.963;0;6.4991118;0.389851985685578;2.09836805555556
2019-01-15;-0.0854930555555555;-3.813;5.79;0;8.9026512;0.21515050733598;1.85170833333333
2019-01-16;-2.00713194444444;-4.783;4.034;0;8.0592984;0.284429438462311;0.068
2019-01-17;-2.56974652777778;-5.051;-0.033;0;2.1703392;0.374970270003671;0.0291180555555556
2019-01-18;-1.38793055555556;-4.196;2.997;1.8;6.935583;0.368063975371888;1.02747222222222
2019-01-19;-3.69222569444444;-6.783;-0.207;0;6.5050179;0.325547924850191;0.0245034722222222
2019-01-20;-5.18092361111111;-9.26;1.791;0;10.0491111;0.277536698720053;0.0775694444444444
2019-01-21;-4.85475;-8.62;2.545;0;7.8692448;0.249268634166378;0.109409722222222
2019-01-22;-4.77432986111111;-9.1;2.55;0;9.4983687;0.241237017921304;0.0634409722222222
2019-01-23;-5.70426388888889;-8.61;-2.592;0.8;3.1862859;0.338171251651853;0.01884375
2019-01-24;-5.27884375;-9.26;2.502;0;9.3024288;0.292489479897407;0.0500451388888889
2019-01-25;-4.08638888888889;-9.08;1.612;0;10.0102326;0.219945802189487;0.983819444444444
2019-01-26;-2.18359027777778;-6.447;4.221;0;9.4235676;0.223205700113048;0.0329930555555556
2019-01-27;-3.12124305555556;-4.4;0.799;8;4.5017793;0.35418307807209;0.00904166666666667
2019-01-28;-3.24181597222222;-7.4;-0.622;0.6;1.4864754;0.404696579996788;0.391173611111111
2019-01-29;-4.52888194444444;-7.89;1.534;0;6.4605243;0.308559901740887;0.0459930555555556
2019-01-30;-5.60629513888889;-8.32;-2.764;1.6;3.9754512;0.330935243171607;0.00740277777777778
