date;aerosols;blue;green;red;re1;re2;re3;nir;nir2;watervapor;swir1;swir2;cloud;sat
2020-01-04;0.0078;0.0049;0.0165;0.0218;0.0423;0.116;0.1369;0.1376;0.159;0.046;0.0752;0.058;194;s2
2020-01-09;0.0033;-8e-04;0.0108;0.0142;0.0417;0.1238;0.1475;0.1482;0.1666;0.0363;0.0661;0.047;196;s2
2020-01-14;-0.0027;-0.0023;0.0058;0.0055;0.0205;0.0811;0.094;0.1031;0.11;0.0559;0.0388;0.0175;192;s2
2020-01-19;0.0012;-0.0026;0.0058;0.006;0.0244;0.088;0.1085;0.1087;0.117;0.0692;0.0392;0.0182;192;s2
2020-01-29;-0.0139;-0.0113;0.003;0.0023;0.0232;0.0876;0.1059;0.1148;0.124;0.062;0.0385;0.0181;192;s2
2020-02-03;-0.0067;-0.0052;0.0091;0.0097;0.0287;0.1047;0.1348;0.1356;0.1504;0.0386;0.0559;0.0281;192;s2
2020-02-08;-0.0028;-0.0024;0.0092;0.0083;0.0252;0.0876;0.1062;0.1083;0.1223;0.06;0.0434;0.0204;128;s2
2020-02-13;-8e-04;-1e-04;0.0121;0.0125;0.0295;0.089;0.1092;0.1137;0.1247;0.0601;0.052;0.0308;192;s2
2020-02-18;0.0011;-0.0018;0.0109;0.0088;0.0288;0.0925;0.1123;0.1179;0.1247;0.071;0.0464;0.0219;192;s2
2020-02-23;0.3933;0.4117;0.4346;0.4356;0.4495;0.4796;0.4857;0.4983;0.4996;0.198;0.4148;0.3502;130;s2
2020-02-28;6e-04;-8e-04;0.012;0.0115;0.0309;0.0932;0.1141;0.1168;0.1253;0.0837;0.0479;0.0244;192;s2
2020-03-04;0.0246;-0.0144;-0.0074;-0.0138;0.0135;0.1091;0.1289;0.1337;0.1455;0.033;-0.0075;0.0024;208;s2
2020-03-09;0.3662;0.3111;0.3244;0.3236;0.3465;0.4083;0.418;0.4035;0.4226;0.1889;0.0979;0.0997;66;s2
2020-03-24;0.0322;0.0345;0.0553;0.0676;0.088;0.1405;0.1592;0.1734;0.1843;0.1312;0.1488;0.129;194;s2
2020-03-29;0.4235;0.2461;0.3065;0.3493;0.3818;0.4132;0.4243;0.3357;0.4308;0.298;0.3516;0.3095;130;s2
2020-04-03;-0.0402;-0.0657;-0.0551;-0.0519;-0.0359;0.0091;0.0281;0.0187;0.0407;-0.0103;0.0139;0.0195;200;s2
2020-04-08;7e-04;6e-04;0.0186;0.0156;0.039;0.1066;0.1314;0.1364;0.1458;0.0879;0.0657;0.0342;128;s2
2020-04-23;0.006;0.0081;0.0238;0.0232;0.0409;0.11;0.133;0.1419;0.1501;0.0655;0.0824;0.045;128;s2
2020-05-03;0.0063;0.0095;0.0251;0.0233;0.045;0.1139;0.1365;0.1455;0.1526;0.0921;0.0835;0.0448;128;s2
2020-05-08;0.0256;0.0091;0.0378;0.0413;0.0607;0.127;0.1538;0.1397;0.1663;0.0446;0.1019;0.0747;194;s2
2020-05-18;0.0337;0.0255;0.0402;0.0472;0.0836;0.1661;0.1963;0.194;0.2164;0.0693;0.1207;0.0877;194;s2
2020-05-23;0.0115;0.0153;0.0323;0.0284;0.053;0.1212;0.1498;0.1528;0.1652;0.0391;0.0936;0.0493;64;s2
2020-05-28;0.8698;0.8233;0.8263;0.8033;0.8293;0.8315;0.8333;0.8333;0.8289;0.6105;0.6358;0.5095;194;s2
2020-06-02;0.0419;0.0599;0.1296;0.1598;0.181;0.2716;0.3011;0.2792;0.3153;0.0872;0.2677;0.1908;194;s2
2020-06-12;0.0099;0.0118;0.0309;0.0264;0.0522;0.1301;0.1561;0.1598;0.1744;0.0482;0.0951;0.0484;68;s2
2020-06-17;0.5248;0.4904;0.4959;0.4802;0.4972;0.5242;0.5402;0.529;0.5448;0.2486;0.4341;0.347;194;s2
2020-06-22;0.0131;0.0149;0.0336;0.0297;0.057;0.132;0.1577;0.1588;0.1759;0.0575;0.1051;0.0569;68;s2
2020-06-27;0.0115;0.0152;0.0345;0.0305;0.0591;0.1456;0.1744;0.1765;0.1926;0.0377;0.1028;0.0515;128;s2
2020-07-02;0.5628;0.5907;0.5963;0.5794;0.5972;0.6138;0.6114;0.6364;0.6029;0.3294;0.5011;0.3536;194;s2
2020-07-07;0.011;0.0169;0.0341;0.0318;0.0555;0.1336;0.1577;0.1641;0.1757;0.07;0.0992;0.0554;68;s2
2020-07-12;0.0103;0.0137;0.0306;0.0271;0.0525;0.1261;0.153;0.1585;0.1702;0.0623;0.0938;0.0493;64;s2
2020-07-17;0.0179;0.0285;0.0446;0.0445;0.0604;0.1143;0.1344;0.1439;0.1475;0.0522;0.1063;0.0784;200;s2
2020-07-22;0.8048;0.7641;0.7914;0.7909;0.7992;0.7855;0.7815;0.7663;0.7685;0.5228;0.4591;0.3119;194;s2
2020-07-27;0.0091;0.0119;0.0309;0.0261;0.0503;0.1414;0.1697;0.1678;0.1942;0.0312;0.0958;0.0486;196;s2
2020-08-01;0.0104;0.0108;0.0261;0.0221;0.0419;0.1146;0.1426;0.1403;0.1579;0.0449;0.0874;0.0445;64;s2
2020-08-06;0.0092;0.0143;0.0319;0.0286;0.0517;0.1256;0.1526;0.1549;0.1695;0.0325;0.0965;0.0488;64;s2
2020-08-11;0.0088;0.0109;0.027;0.0227;0.0417;0.1164;0.1465;0.1461;0.1637;0.0324;0.0859;0.0427;64;s2
2020-08-16;0.0094;0.0113;0.0286;0.0252;0.0467;0.1273;0.1601;0.1581;0.176;0.0309;0.0911;0.0432;128;s2
2020-08-21;0.008;0.0096;0.0257;0.0224;0.0419;0.1094;0.1407;0.1404;0.1577;0.0299;0.085;0.0416;64;s2
2020-08-26;0.0135;0.0172;0.0376;0.0351;0.0582;0.1361;0.1648;0.172;0.1855;0.0514;0.0966;0.0637;194;s2
2020-09-05;0.008;0.0138;0.0323;0.0293;0.0486;0.1201;0.1489;0.1539;0.164;0.0408;0.0913;0.0518;64;s2
2020-09-10;0.0152;0.0258;0.0598;0.0552;0.0859;0.1955;0.2423;0.2418;0.2639;0.0407;0.1698;0.1101;194;s2
2020-09-15;0.0082;0.0153;0.0299;0.0297;0.0469;0.1154;0.1377;0.1448;0.1563;0.0394;0.089;0.0458;64;s2
2020-09-20;0.0103;0.0088;0.0235;0.0195;0.0386;0.1092;0.1348;0.1346;0.1546;0.0208;0.0783;0.0391;192;s2
